Objectives|Type of diagnosis|"Source of
Data"|"Number of
subjects (n)"|"Machine learning
method(s) "|Outcomes|Training accuracy|Training sensitivity|Training MCC|Ensembe classification accuracy|Accuracy|Sensitivity|Precision|F-measure|Specificity|AUC|Kappa|G-mean|Recall|NPV|FNR|FPR|PE|MCC|MSE|EER|Error rate|Error rate(spread parameter = 195.1189)|Error rate(spread parameter = 1.2)|Error rate(spread parameter = 364.8)|ML|Train|Validation|Test|Year|Reference
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|MLP, GRNN with a training-test ratio of 50:50|GRNN: error rate = 0.0995 (spread parameter = 195.1189) error rate = 0.0958 (spread parameter = 1.2) error rate = 0.0928 (spread parameter = 364.8) ||||||||||||||||||||||0.1|0.1|0.09|GRNN|50||50|2016|Cimen and Bolat
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|ECFA-SVM with 10- fold cross validation|accuracy = 97.95% sensitivity = 97.90% precision = 97.90% F-measure = 97.90% specificity = 96.50% AUC = 97.20%|||||0.98|0.98|0.98|0.98|0.97|0.97|||||||||||||||||||2017|Dash et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|fuzzy classifier with 10-fold cross validation, leave-oneout cross validation or a train-test ratio of 70:30 |Accuracy = 100%|||||1|||||||||||||||||||||70||30|2019|Dastjerd et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|averaged perceptron, BPM, boosted decision tree, decision forests, decision jungle, locally deep SVM, logistic regression, NN, SVM with 10-fold crossvalidation |boosted decision trees: accuracy = 0.912105 precision = 0.935714 F-score = 0.942368 AUC = 0.966293 |||||0.91||0.94|0.94||0.97|||||||||||||||||||2017|Dinesh and He
Classification of PD from HC|Diagnosis|UCI machine learning repository|50; 8 HC + 42 PD|KNN, SVM, ELM with a train-validation ratio of 70:30|SVM: accuracy = 96.43% MCC = 0.77 |||||0.96|||||||||||||0.77|||||||SVM|70|30||2017|Erdogdu Sakar et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|252; 64 HC + 188 PD|CNN with leave-oneperson-out cross validation|accuracy = 0.869 F-Measure = 0.917 MCC = 0.632|||||0.87|||0.92||||||||||0.63|||||||||||2019|Gunduz
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|SVM, logistic regression, KNN, DNN with a train-test ratio of 70:30|DNN: accuracy = 98% specificity = 95% sensitivity = 99%|||||0.98|0.99|||0.95||||||||||||||||DNN|70||30|2018|Haq et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|SVM-RBF, SVM-linear with 10-fold cross validation|accuracy = 99% specificity = 99% sensitivity = 100% |||||0.99|1|||0.99||||||||||||||||||||2019|Haq et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|LS-SVM, PNN, GRNN with conventional (train-test ratio of 50:50) and 10-fold cross validation|LS-SVM or PNN or GRNN: accuracy = 100% precision = 100% sensitivity = 100% specificity = 100% AUC = 100|||||1|1|1||1|1|||||||||||||||LS-SVM/PNN|50||50|2014|Hariharan et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|random tree, SVMlinear, FBANN with 10-fold cross validation|FBANN: accuracy = 97.37% sensitivity = 98.60% specificity = 93.62% FPR = 6.38% precision = 0.979 MSE = 0.027 |||||0.97|0.99|0.98||0.94|||||||0.06|||0.03||||||FBANN||||2014|Islam et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|SVM-linear with 5-fold cross validation |error rate ~0.13|||||||||||||||||||||0.13||||||||2012|Ji and Li
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|decision tree, random forest, SVM, GBM, XGBoost|SVM-linear: FNR = 10% accuracy = 0.725|||||0.73||||||||||0.1||||||||||SVM-linear||||2018|Junior et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|CART, SVM, ANN|SVM accuracy = 93.84% |||||0.94||||||||||||||||||||SVM||||2020|Karapinar Senturk
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD, dataset 1|EWNN with a train-test ratio of 90:10 and cross validation|dataset 1: accuracy = 92.9% ensemble classification accuracy = 100.0% sensitivity = 100.0% MCC = 100.0%||||1|0.93|1||||||||||||1||||||||90||10|2018|Khan et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD, dataset 2|EWNN with a train-test ratio of 90:10 and cross validation|dataset 2: accuracy = 66.3% ensemble classification accuracy = 90.0% sensitivity = 93.0% specificity = 97.0% MCC = 87.0%|||||0.66|0.93|||0.97|||||||||0.87||||||||90||10|2018|Khan et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|stacked generalization with CMTNN with 10-fold cross validation |Accuracy = ~70%|||||0.7||||||||||||||||||||||||2015|Kraipeerapun and Amornsamank ul
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|HMM, SVM|HMM: accuracy = 95.16% sensitivity = 93.55% specificity = 91.67%|||||0.95|0.94|||0.92||||||||||||||||HMM||||2019|Kuresan et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|IGWO-KELM with 10- fold cross validation|iteration number = 100 accuracy = 97.45% sensitivity = 99.38% specificity = 93.48% precision = 97.33% G-mean = 96.38% F-measure = 98.34% |||||0.97|0.99|0.97|0.98|0.93|||0.96|||||||||||||Iteration 100||||2017|Li et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|SCFW-KELM with 10- fold cross validation|accuracy = 99.49% sensitivity = 100% specificity = 99.39% AUC = 99.69% f-measure = 0.9966 kappa = 0.9863 |||||0.99|1||1|0.99|1|0.99||||||||||||||||||2014|Ma et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|SVM-RBF with 10-fold cross validation|accuracy = 96.29% sensitivity = 95.00% specificity = 97.50%|||||0.96|0.95|||0.98||||||||||||||||||||2016|Ma et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|logistic regression, NN, SVM, SMO, Pegasos, AdaBoost, ensemble selection, FURIA, rotation forest Bayesian network with 10-fold crossvalidation|average accuracy across all models = 97.06% SMO, Pegasos or AdaBoost accuracy = 98.24% |||||0.98||||||||||||||||||||SMO/Pegasos/AdaBoost||||2013|Mandal and Sairam
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|logistic regression, KNN, SVM, naïve Bayes, decision tree, random forest, ANN|ANN: accuracy = 94.87% specificity = 96.55% sensitivity = 90% |||||0.95|0.9|||0.97||||||||||||||||ANN||||2018|Marar et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|KNN|dataset 1 accuracy = 90%|||||0.9||||||||||||||||||||||||2017|Moharkan et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|KNN|dataset 2 accuracy = 65%|||||0.65||||||||||||||||||||||||2017|Moharkan et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|rotation forest ensemble with 10-fold cross validation|accuracy = 87.1% kappa error = 0.63 AUC = 0.860 |||||0.87|||||0.86|0.63||||||||||||||||||2011|Ozcift and Gulten
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|rotation forest ensemble|accuracy = 96.93% Kappa = 0.92 AUC = 0.97|||||0.97|||||0.97|0.92||||||||||||||||||2012|Ozcift
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|SVM-RBF with 10-fold cross validation or a train-test ratio of 50:50|10-fold cross validation: accuracy = 98.95% sensitivity = 96.12% specificity = 100% f-measure = 0.9795 Kappa = 0.9735 AUC = 0.9808 |||||0.99|0.96||0.98|1|0.98|0.97||||||||||||||10-fold cross validation|50||50|2016|Peker
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|ELM with 10-fold cross validation|accuracy = 88.72% recall = 94.33% precision = 90.48% F-score = 92.36% |||||0.89||0.9|0.92|||||0.94||||||||||||||||2016|Shahsavari et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|ensemble learning with 10‐fold cross validation|accuracy = 90.6% sensitivity = 95.8% specificity = 75%|||||0.91|0.96|||0.75||||||||||||||||||||2019|Sheibani et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|GLRA, SVM, bagging ensemble with 5-fold cross validation|bagging: sensitivity = 0.9796 specificity = 0.6875 MCC = 0.6977 AUC = 0.9558||||||0.98|||0.69|0.96||||||||0.7|||||||Bagging||||2017|Wu et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|GLRA, SVM, bagging ensemble with 5-fold cross validation|SVM: sensitivity = 0.9252 specificity = 0.8542 MCC = 0.7592 AUC = 0.9349||||||0.93|||0.85|0.93||||||||0.76|||||||||||2017|Wu et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|decision tree classifier, logistic regression, SVM with 10-fold cross validation|SVM: accuracy = 0.76 sensitivity = 0.9745 specificity = 0.13|||||0.76|0.97|||0.13||||||||||||||||SVM||||2011|Yadav et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|80; 40 HC + 40 PD|KNN, SVM with 10- fold cross validation|SVM: accuracy = 91.25% precision = 0.9125 recall = 0.9125 F-Measure = 0.9125|||||0.91||0.91|0.91|||||0.91||||||||||||SVM||||2019|Yaman et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|MAP, SVM-RBF, FLDA with 5-fold cross validation|MAP: accuracy = 91.8% sensitivity = 0.986 specificity = 0.708 AUC = 0.94|||||0.92|0.99|||0.71|0.94|||||||||||||||MAP||||2014|Yang et al
Classification of PD from other disorders|Differential diagnosis|collected from participants|50; 0 HC + 30 PD + 9 MSA + 5 FND + 1 somatization + 1 dystonia + 2 CD + 1 ET + 1 GPD|SVM, KNN, DA, naïve Bayes, classification tree with LOSO|SVM-linear: accuracy = 90% sensitivity = 90% specificity = 90% MCC = 0.794067 PE = 0.788177 |||||0.9|0.9|||0.9||||||||0.79|0.79|||||||SVM-linear||||2016|Benba et al
Classification of PD from other disorders|Differential diagnosis|collected from participants|40; 0 HC + 20 PD + 9 MSA + 5 FND + 1 somatization + 1 dystonia + 2 CD + 1 ET + 1 GPD|SVM (RBF, linear, polynomial and MLP kernels) with LOSO|SVM-linear accuracy = 85%|||||0.85||||||||||||||||||||SVM-linear||||2016|Benba et al
Classification of PD from HC and assess the severity of PD |Diagnosis|collected from participants|52; 9 HC + 43 PD|SVM-RBF with cross validation |Accuracy = 81.8%|||||0.82||||||||||||||||||||||||2014|Frid et al
Classification of PD from HC|Diagnosis|collected from participants|54; 27 HC + 27 PD|SVM with stratified 10- fold cross validation or leave-one-out cross validation|accuracy = 94.4% specificity = 100% sensitivity = 88.9%|||||0.94|0.89|||1||||||||||||||||||||2018|Montaña et al
Classification of PD from HC|Diagnosis|collected from participants|40; 20 HC + 20 PD|KNN, SVM-linear, SVM-RBF with leaveone-subject-out or summarized leaveone-out|SVM-linear: accuracy = 77.50% MCC = 0.5507 sensitivity = 80.00% specificity = 75.00%|||||0.78|0.8|||0.75|||||||||0.55|||||||SVM-linear||||2013|Sakar et al
Classification of PD from HC|Diagnosis|collected from participants|78; 27 HC + 51 PD|KNN, SVM-linear, SVM-RBF, ANN, DNN with leave-one-out cross validation |SVM-RBF: accuracy = 84.62% precision = 88.04% recall = 78.65%|||||0.85||0.88||||||0.79||||||||||||SVM-RBF||||2017|Sztahó et al
Classification of PD from HC and assess the severity of PD |Diagnosis|collected from participants|88; 33 HC + 55 PD|KNN, SVM-linear, SVM-RBF, ANN, DNN with leave-onesubject-out cross validation|SVM-RBF: accuracy = 89.3% sensitivity = 90.2% specificity = 87.9%|||||0.89|0.9|||0.88||||||||||||||||SVM-RBF||||2019|Sztahó et al
Classification of PD from HC|Diagnosis|collected from participants|43; 10 HC + 33 PD|random forests, SVM with 10-fold cross validation and a traintest ratio of 90:10|SVM accuracy = 98.6%|||||0.99||||||||||||||||||||SVM|90||10|2012|Tsanas et al
Classification of PD from HC|Diagnosis|collected from participants|99; 35 HC + 64 PD|random forest with internal out-of-bag (OOB) validation|EER = 19.27%||||||||||||||||||||0.19|||||EER||||2017|Vaiciukynas et al
Classification of PD from HC|Diagnosis|UCI machine learning repository and participants|68; 20 HC + 48 PD|ELM|training data: accuracy = 90.76% MCC = 0.815 test data: accuracy = 81.55%|0.91||0.82||0.82||||||||||||||||||||||||2016|Agrawal et al
Classification of PD from HC|Diagnosis|the Neurovoz corpus|108; 56 HC + 52 PD|Siamese LSTM-based NN with 10-fold crossvalidation|EER = 1.9%||||||||||||||||||||0.02|||||||||2019|Bhati et al
Classification of PD from HC|Diagnosis|mPower database|2,289; 2,023 HC + 246 PD|L2-regularized logistic regression, random forest, gradient boosted decision trees with 5- fold cross validation|gradient boosted decision trees: recall = 0.797 precision = 0.901 F1-score = 0.836|||||||0.9|0.84|||||0.8||||||||||||Gradient boosted decision trees||||2019|Tracy et al
Classification of PD from HC|Diagnosis|PC-GITA database|100; 50 HC + 50 PD|ResNet with train validation ratio of 90:10|precision = 0.92 recall = 0.92 F1-score = 0.92 accuracy = 91.7%|||||0.92||0.92|0.92|||||0.92||||||||||||||||2019|Wodzinski et al 
